complaint_text,category,department
The water supply in the office building is inconsistent and needs urgent attention.,Water Supply,Water Department
"We received an unusually high electricity bill, and we suspect there is an error in the meter reading.",Electricity Bills (EB),Electricity Department
"Garbage collection in the industrial area is irregular, causing health hazards.",Garbage Collection,Waste Management Department
"The road leading to the office has numerous potholes, making it dangerous for employees to commute.",Roads,Public Works Department
"The water supply has been contaminated, affecting the quality of water in the office.",Water Supply,Water Department
"Our electricity meter has been malfunctioning, resulting in incorrect billing amounts.",Electricity Bills (EB),Electricity Department
"The garbage is not collected on time, and it's causing unpleasant odors in the office vicinity.",Garbage Collection,Waste Management Department
"The road near our office is blocked due to construction, causing traffic jams.",Roads,Public Works Department
"Water pressure in the building is low, making it difficult to operate essential equipment.",Water Supply,Water Department
"The electricity in the office keeps going off, disrupting our daily operations.",Electricity Bills (EB),Electricity Department
"The trash bins in our office parking lot are overflowing, and waste management is ineffective.",Garbage Collection,Waste Management Department
"The road near our headquarters is not properly maintained, causing vehicle damage.",Roads,Public Works Department
"The water bill for the office is unusually high, and we need clarification on the charges.",Water Supply,Water Department
"The office building experiences power outages too often, affecting productivity.",Electricity Bills (EB),Electricity Department
"The garbage collection service is unreliable, and we are constantly facing delays in disposal.",Garbage Collection,Waste Management Department
There are dangerous potholes on the road that need immediate repair for the safety of commuters.,Roads,Public Works Department
"The water supply pipes have burst multiple times, leading to disruptions in daily activities.",Water Supply,Water Department
We are being overcharged for electricity despite our office using minimal power.,Electricity Bills (EB),Electricity Department
"The waste collection in our industrial zone is erratic, leading to litter accumulation.",Garbage Collection,Waste Management Department
"The road near the office is filled with large potholes, making driving hazardous.",Roads,Public Works Department
"The building’s water filtration system is malfunctioning, resulting in poor water quality.",Water Supply,Water Department
"The electricity grid is unstable, causing frequent interruptions and power surges.",Electricity Bills (EB),Electricity Department
"The trash bins outside our building are often not emptied on time, creating a sanitation issue.",Garbage Collection,Waste Management Department
"There is severe traffic congestion on the road outside our office, leading to delays in employee commutes.",Roads,Public Works Department
"We have low water pressure in the building, affecting essential services like bathrooms and kitchens.",Water Supply,Water Department
Our office received a bill with an inflated electricity charge. We need an audit of our consumption.,Electricity Bills (EB),Electricity Department
"The garbage collection trucks are too few, and they don't reach our area regularly.",Garbage Collection,Waste Management Department
"The road outside our office is riddled with potholes, making driving unsafe for employees.",Roads,Public Works Department
Water leaks have been reported in the office plumbing system multiple times over the past month.,Water Supply,Water Department
"The electrical supply to the office building is erratic, and we need a reliable source.",Electricity Bills (EB),Electricity Department
"Garbage collection in our area is infrequent, leading to waste piling up on the streets.",Garbage Collection,Waste Management Department
"The road near our office is slippery during rainy weather, increasing the risk of accidents.",Roads,Public Works Department
"The water bill for the office is unusually high, and we need an explanation for the charges.",Water Supply,Water Department
"The electricity in our office is unreliable, and we need to install a backup system.",Electricity Bills (EB),Electricity Department
